41.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:26:40.1 (1047400)|USER_INFO|[EXTERNAL]|0051I000001HhoW|mark.hausknecht@atginfo.com.apexbootcamp|Pacific Standard Time|GMT-07:00
16:26:40.1 (1073817)|EXECUTION_STARTED
16:26:40.1 (1078590)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
16:26:40.1 (13855249)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (13921934)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (14064685)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (14128924)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (14270201)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (14334847)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (14482644)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (14547026)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (14693947)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (14758965)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (14908099)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (14974033)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (15122783)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (15187930)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (15330535)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (15402171)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (15544478)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (15609812)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (15752659)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (15819131)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (15961978)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (16043568)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (16189347)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (16254373)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (16416882)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (16483877)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (16627480)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (16692960)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (16836997)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (16903051)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (17044243)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (17108436)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (17254696)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (17323243)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (17473900)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (17540134)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (17681363)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (17746388)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (17886672)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (17952095)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (18094357)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (18158504)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (18304850)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (18372896)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (18516352)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (18580513)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (18722593)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (18787949)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (18930123)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (18993483)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (19135748)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (19200059)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (19347765)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (19414434)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (19557170)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (19620847)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (19764279)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (19828836)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (19972376)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (20039199)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (20183226)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (20245713)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (20390020)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (20455662)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (20596934)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (20662305)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (20803182)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (20872385)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (21015920)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (21079937)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (21223087)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (21289334)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (21436486)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (21501924)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (21644777)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (21708430)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (21857677)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (21923333)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (22064691)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (22128530)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (22270668)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (22334031)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (22480769)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (22544837)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (22685813)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (22751331)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (22891673)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (22955184)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (23094597)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (23157682)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (23297530)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (23365785)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (23505650)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (23575654)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (23717353)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (23781342)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (23920950)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (23986623)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (24130127)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (24194435)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (24336486)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (24404117)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (24542876)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (24608756)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (24747041)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (24811184)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (24959482)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (25025112)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (25168529)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (25234983)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (25386204)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (25451584)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (25594984)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (25661103)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (25801985)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (25866656)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (26006533)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (26070271)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (26211498)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (26274248)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (26417858)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (26481569)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (26623008)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (26687656)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (26826961)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (26890627)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (27029961)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (27100741)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (27445476)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (27518634)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (27670778)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (27735394)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (27878625)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (27943719)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (28084928)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (28148431)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (28289481)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (28358479)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (28502751)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (28566711)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (28708228)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (28771364)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (28912660)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (28976928)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (29124255)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (29188270)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (29330715)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (29398547)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (29561162)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (29625171)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (29769302)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
